Date,Open,High,Low,Close,Adj Close,Volume
18-04-2012,1390.78,1390.78,1383.29,1385.14,1385.14,3463140000
17-04-2012,1369.57,1392.76,1369.57,1390.78,1390.78,3456200000
16-04-2012,1370.27,1379.66,1365.38,1369.57,1369.57,3574780000
13-04-2012,1387.61,1387.61,1369.85,1370.26,1370.26,3631160000
12/4/2012,1368.77,1388.13,1368.77,1387.57,1387.57,3618280000
11/4/2012,1358.98,1374.71,1358.98,1368.71,1368.71,3743040000
10/4/2012,1382.18,1383.01,1357.38,1358.59,1358.59,4631730000
9/4/2012,1397.45,1397.45,1378.24,1382.2,1382.2,3468980000
5/4/2012,1398.79,1401.6,1392.92,1398.08,1398.08,3303740000
4/4/2012,1413.09,1413.09,1394.09,1398.96,1398.96,3938290000
3/4/2012,1418.98,1419,1404.62,1413.38,1413.38,3822090000
2/4/2012,1408.47,1422.38,1404.46,1419.04,1419.04,3572010000
30-03-2012,1403.31,1410.89,1401.42,1408.47,1408.47,3676890000
29-03-2012,1405.39,1405.39,1391.56,1403.28,1403.28,3832000000
28-03-2012,1412.52,1413.65,1397.2,1405.54,1405.54,3892800000
27-03-2012,1416.55,1419.15,1411.95,1412.52,1412.52,3513640000
26-03-2012,1397.11,1416.58,1397.11,1416.51,1416.51,3576950000
23-03-2012,1392.78,1399.18,1386.87,1397.11,1397.11,3472950000
22-03-2012,1402.89,1402.89,1388.73,1392.78,1392.78,3740590000
21-03-2012,1405.52,1407.75,1400.64,1402.89,1402.89,3573590000
20-03-2012,1409.59,1409.59,1397.68,1405.52,1405.52,3695280000
19-03-2012,1404.17,1414,1402.43,1409.75,1409.75,3932570000
16-03-2012,1402.55,1405.88,1401.47,1404.17,1404.17,5163950000
15-03-2012,1394.17,1402.63,1392.78,1402.6,1402.6,4271650000
14-03-2012,1395.95,1399.42,1389.97,1394.28,1394.28,4502280000
13-03-2012,1371.92,1396.13,1371.92,1395.95,1395.95,4386470000
12/3/2012,1370.78,1373.04,1366.69,1371.09,1371.09,3081870000
9/3/2012,1365.97,1374.76,1365.97,1370.87,1370.87,3639470000
8/3/2012,1352.65,1368.72,1352.65,1365.91,1365.91,3543060000
7/3/2012,1343.39,1354.85,1343.39,1352.63,1352.63,3580380000
